track_name;track_add_date;track_add_time;multiple_artists_bool;name_of_artists;album_name;album_release_date;album_release_date_precision;number_of_tracks_in_album;position_in_playlist;track_duration_ms;track_popularity;track_explicit;images_path;data_collection_date
Coco Chanel;2023-04-05;09:37:18;True;['Eladio Carrion', 'Bad Bunny'];3MEN2 KBRN;2023-03-17;day;18;28;208125;90;True;./images/coco_chanel_eladio_carrion.jpg;2023-04-05
Until I Found You (with Em Beihold) - Em Beihold Version;2023-04-05;09:37:18;True;['Stephen Sanchez', 'Em Beihold'];Until I Found You (Em Beihold Version);2022-04-22;day;1;29;176440;93;False;./images/until_i_found_you_with_em_beihold_em_beihold_version_stephen_sanchez.jpg;2023-04-05
Another Love;2023-04-05;09:37:18;False;['Tom Odell'];Long Way Down;2013-06-17;day;10;30;244360;62;True;./images/another_love_tom_odell.jpg;2023-04-05
I Wanna Be Yours;2023-04-05;09:37:18;False;['Arctic Monkeys'];AM;2013-09-09;day;12;31;183956;92;False;./images/i_wanna_be_yours_arctic_monkeys.jpg;2023-04-05
Starboy;2023-04-05;09:37:18;True;['The Weeknd', 'Daft Punk'];Starboy;2016-11-25;day;18;32;230453;92;True;./images/starboy_the_weeknd.jpg;2023-04-05
I Ain't Worried;2023-04-05;09:37:18;False;['OneRepublic'];OneRepublic (Japan Paradise Tour Edition);2023-02-15;day;18;33;148120;52;False;./images/i_aint_worried_onerepublic.jpg;2023-04-05
golden hour;2023-04-05;09:37:18;False;['JVKE'];this is what ____ feels like (Vol. 1-4);2022-09-23;day;12;34;209259;90;False;./images/golden_hour_jvke.jpg;2023-04-05
Escapism.;2023-04-05;09:37:18;True;['RAYE', '070 Shake'];My 21st Century Blues;2023-02-03;day;15;35;272373;81;True;./images/escapism_raye.jpg;2023-04-05
OMG;2023-04-05;09:37:18;False;['NewJeans'];NewJeans 'OMG';2023-01-02;day;2;36;212253;93;False;./images/omg_newjeans.jpg;2023-04-05
El Azul;2023-04-05;09:37:18;True;['Junior H', 'Peso Pluma'];El Azul;2023-02-10;day;1;37;187225;89;True;./images/el_azul_junior_h.jpg;2023-04-05
Quevedo: Bzrp Music Sessions, Vol. 52;2023-04-05;09:37:18;True;['Bizarrap', 'Quevedo'];Quevedo: Bzrp Music Sessions, Vol. 52;2022-07-06;day;1;38;198937;93;False;./images/quevedo_bzrp_music_sessions_vol_52_bizarrap.jpg;2023-04-05
Mockingbird;2023-04-05;09:37:18;False;['Eminem'];Encore (Deluxe Version);2004-11-12;day;23;39;250760;91;True;./images/mockingbird_eminem.jpg;2023-04-05
Players;2023-04-05;09:37:18;False;['Coi Leray'];Players;2022-11-30;day;1;40;139560;92;True;./images/players_coi_leray.jpg;2023-04-05
Feliz Cumpleaños Ferxxo;2023-04-05;09:37:18;False;['Feid'];FELIZ CUMPLEAÑOS FERXXO TE PIRATEAMOS EL ÁLBUM;2022-09-14;day;15;41;155960;89;False;./images/feliz_cumpleaos_ferxxo_feid.jpg;2023-04-05
Set Me Free Pt.2;2023-04-05;09:37:18;False;['Jimin'];Set Me Free Pt.2;2023-03-17;day;1;42;200929;89;True;./images/set_me_free_pt2_jimin.jpg;2023-04-05
Rara Vez;2023-04-05;09:37:18;True;['Taiu', 'Milo j'];Rara Vez;2023-02-08;day;1;43;128677;90;False;./images/rara_vez_taiu.jpg;2023-04-05
La Jumpa;2023-04-05;09:37:18;True;['Arcángel', 'Bad Bunny'];Sr. Santos;2022-12-01;day;18;44;255693;87;True;./images/la_jumpa_arcngel.jpg;2023-04-05
ceilings;2023-04-05;09:37:18;False;['Lizzy McAlpine'];five seconds flat;2022-04-08;day;14;45;182887;91;False;./images/ceilings_lizzy_mcalpine.jpg;2023-04-05
Snooze;2023-04-05;09:37:18;False;['SZA'];SOS;2022-12-09;day;23;46;201800;91;True;./images/snooze_sza.jpg;2023-04-05
Bones;2023-04-05;09:37:18;False;['Imagine Dragons'];Mercury - Acts 1 & 2;2022-07-01;day;32;47;165264;86;False;./images/bones_imagine_dragons.jpg;2023-04-05
All Of The Girls You Loved Before;2023-04-05;09:37:18;False;['Taylor Swift'];All Of The Girls You Loved Before;2019-08-23;day;1;48;221407;90;False;./images/all_of_the_girls_you_loved_before_taylor_swift.jpg;2023-04-05
Eyes Closed;2023-04-05;09:37:18;False;['Ed Sheeran'];Eyes Closed (Piano Version);2023-03-23;day;2;49;194848;70;False;./images/eyes_closed_ed_sheeran.jpg;2023-04-05
Arcángel: Bzrp Music Sessions, Vol. 54;2023-04-05;09:37:18;True;['Bizarrap', 'Arcángel'];Arcángel: Bzrp Music Sessions, Vol. 54;2023-03-22;day;1;50;223019;87;False;./images/arcngel_bzrp_music_sessions_vol_54_bizarrap.jpg;2023-04-05
